site,biological_row_id,plant_global_rtl,plant_uid,measurement_round_within_site,measurement_datetime,measurement_date,manual_height_cm,source_sheet,source_cell
Marsden,M-0013,9,M-0013-p09,6,2024-07-28T08:30:00-05:00,2024-07-28,140.0,Plant height ground truth-cm,J21
Marsden,M-0013,10,M-0013-p10,1,2024-07-05T09:30:00-05:00,2024-07-05,50.0,Plant height ground truth-cm,D22
Marsden,M-0013,10,M-0013-p10,2,2024-07-10T13:12:00-05:00,2024-07-10,67.0,Plant height ground truth-cm,F22
Marsden,M-0013,10,M-0013-p10,3,2024-07-15T08:05:00-05:00,2024-07-15,87.0,Plant height ground truth-cm,G22
Marsden,M-0013,10,M-0013-p10,4,2024-07-18T08:30:00-05:00,2024-07-18,103.0,Plant height ground truth-cm,H22
Marsden,M-0013,10,M-0013-p10,5,2024-07-23T09:07:00-05:00,2024-07-23,130.0,Plant height ground truth-cm,I22
Marsden,M-0013,10,M-0013-p10,6,2024-07-28T08:30:00-05:00,2024-07-28,143.0,Plant height ground truth-cm,J22
Marsden,M-0013,11,M-0013-p11,1,2024-07-05T09:30:00-05:00,2024-07-05,55.0,Plant height ground truth-cm,D23
Marsden,M-0013,11,M-0013-p11,2,2024-07-10T13:12:00-05:00,2024-07-10,80.0,Plant height ground truth-cm,F23
Marsden,M-0013,11,M-0013-p11,3,2024-07-15T08:05:00-05:00,2024-07-15,101.0,Plant height ground truth-cm,G23
Marsden,M-0013,11,M-0013-p11,4,2024-07-18T08:30:00-05:00,2024-07-18,105.0,Plant height ground truth-cm,H23
Marsden,M-0013,11,M-0013-p11,5,2024-07-23T09:07:00-05:00,2024-07-23,125.0,Plant height ground truth-cm,I23
Marsden,M-0013,11,M-0013-p11,6,2024-07-28T08:30:00-05:00,2024-07-28,155.0,Plant height ground truth-cm,J23
Marsden,M-0013,12,M-0013-p12,1,2024-07-05T09:30:00-05:00,2024-07-05,52.0,Plant height ground truth-cm,D24
Marsden,M-0013,12,M-0013-p12,2,2024-07-10T13:12:00-05:00,2024-07-10,80.0,Plant height ground truth-cm,F24
Marsden,M-0013,12,M-0013-p12,3,2024-07-15T08:05:00-05:00,2024-07-15,98.0,Plant height ground truth-cm,G24
Marsden,M-0013,12,M-0013-p12,4,2024-07-18T08:30:00-05:00,2024-07-18,107.0,Plant height ground truth-cm,H24
Marsden,M-0013,12,M-0013-p12,5,2024-07-23T09:07:00-05:00,2024-07-23,120.0,Plant height ground truth-cm,I24
Marsden,M-0013,12,M-0013-p12,6,2024-07-28T08:30:00-05:00,2024-07-28,149.0,Plant height ground truth-cm,J24
Woodruff,W-0010,1,W-0010-p01,1,2024-07-06T18:27:00-05:00,2024-07-06,60.0,Plant height ground truth-cm,E37
Woodruff,W-0010,1,W-0010-p01,2,2024-07-15T09:22:00-05:00,2024-07-15,98.0,Plant height ground truth-cm,G37
Woodruff,W-0010,1,W-0010-p01,3,2024-07-18T13:47:00-05:00,2024-07-18,120.0,Plant height ground truth-cm,H37
Woodruff,W-0010,1,W-0010-p01,4,2024-07-23T10:45:00-05:00,2024-07-23,137.0,Plant height ground truth-cm,I37
Woodruff,W-0010,1,W-0010-p01,5,2024-07-28T11:50:00-05:00,2024-07-28,160.0,Plant height ground truth-cm,J37
Woodruff,W-0010,2,W-0010-p02,1,2024-07-06T18:27:00-05:00,2024-07-06,70.0,Plant height ground truth-cm,E38
Woodruff,W-0010,2,W-0010-p02,2,2024-07-15T09:22:00-05:00,2024-07-15,100.0,Plant height ground truth-cm,G38
Woodruff,W-0010,2,W-0010-p02,3,2024-07-18T13:47:00-05:00,2024-07-18,113.0,Plant height ground truth-cm,H38
Woodruff,W-0010,2,W-0010-p02,4,2024-07-23T10:45:00-05:00,2024-07-23,130.0,Plant height ground truth-cm,I38
Woodruff,W-0010,2,W-0010-p02,5,2024-07-28T11:50:00-05:00,2024-07-28,147.0,Plant height ground truth-cm,J38
Woodruff,W-0010,3,W-0010-p03,1,2024-07-06T18:27:00-05:00,2024-07-06,64.0,Plant height ground truth-cm,E39
Woodruff,W-0010,3,W-0010-p03,2,2024-07-15T09:22:00-05:00,2024-07-15,107.0,Plant height ground truth-cm,G39
Woodruff,W-0010,3,W-0010-p03,3,2024-07-18T13:47:00-05:00,2024-07-18,120.0,Plant height ground truth-cm,H39
Woodruff,W-0010,3,W-0010-p03,4,2024-07-23T10:45:00-05:00,2024-07-23,130.0,Plant height ground truth-cm,I39
Woodruff,W-0010,4,W-0010-p04,1,2024-07-06T18:27:00-05:00,2024-07-06,60.0,Plant height ground truth-cm,E40
Woodruff,W-0010,4,W-0010-p04,2,2024-07-15T09:22:00-05:00,2024-07-15,98.0,Plant height ground truth-cm,G40
Woodruff,W-0010,4,W-0010-p04,3,2024-07-18T13:47:00-05:00,2024-07-18,116.0,Plant height ground truth-cm,H40
Woodruff,W-0010,4,W-0010-p04,4,2024-07-23T10:45:00-05:00,2024-07-23,137.0,Plant height ground truth-cm,I40
Woodruff,W-0010,4,W-0010-p04,5,2024-07-28T11:50:00-05:00,2024-07-28,155.0,Plant height ground truth-cm,J40
Woodruff,W-0010,5,W-0010-p05,1,2024-07-06T18:27:00-05:00,2024-07-06,60.0,Plant height ground truth-cm,E41
Woodruff,W-0010,5,W-0010-p05,2,2024-07-15T09:22:00-05:00,2024-07-15,95.0,Plant height ground truth-cm,G41
Woodruff,W-0010,5,W-0010-p05,3,2024-07-18T13:47:00-05:00,2024-07-18,97.0,Plant height ground truth-cm,H41
Woodruff,W-0010,5,W-0010-p05,4,2024-07-23T10:45:00-05:00,2024-07-23,110.0,Plant height ground truth-cm,I41
Woodruff,W-0010,5,W-0010-p05,5,2024-07-28T11:50:00-05:00,2024-07-28,136.0,Plant height ground truth-cm,J41
Woodruff,W-0010,6,W-0010-p06,1,2024-07-06T18:27:00-05:00,2024-07-06,75.0,Plant height ground truth-cm,E42
Woodruff,W-0010,6,W-0010-p06,2,2024-07-15T09:22:00-05:00,2024-07-15,112.0,Plant height ground truth-cm,G42
Woodruff,W-0010,6,W-0010-p06,3,2024-07-18T13:47:00-05:00,2024-07-18,123.0,Plant height ground truth-cm,H42
Woodruff,W-0010,6,W-0010-p06,4,2024-07-23T10:45:00-05:00,2024-07-23,138.0,Plant height ground truth-cm,I42
Woodruff,W-0010,6,W-0010-p06,5,2024-07-28T11:50:00-05:00,2024-07-28,164.0,Plant height ground truth-cm,J42
Woodruff,W-0010,7,W-0010-p07,1,2024-07-06T18:27:00-05:00,2024-07-06,68.0,Plant height ground truth-cm,E43
Woodruff,W-0010,7,W-0010-p07,2,2024-07-15T09:22:00-05:00,2024-07-15,105.0,Plant height ground truth-cm,G43
Woodruff,W-0010,7,W-0010-p07,3,2024-07-18T13:47:00-05:00,2024-07-18,114.0,Plant height ground truth-cm,H43
Woodruff,W-0010,7,W-0010-p07,4,2024-07-23T10:45:00-05:00,2024-07-23,134.0,Plant height ground truth-cm,I43
Woodruff,W-0010,7,W-0010-p07,5,2024-07-28T11:50:00-05:00,2024-07-28,155.0,Plant height ground truth-cm,J43
Woodruff,W-0010,8,W-0010-p08,1,2024-07-06T18:27:00-05:00,2024-07-06,70.0,Plant height ground truth-cm,E44
Woodruff,W-0010,8,W-0010-p08,2,2024-07-15T09:22:00-05:00,2024-07-15,110.0,Plant height ground truth-cm,G44
Woodruff,W-0010,8,W-0010-p08,3,2024-07-18T13:47:00-05:00,2024-07-18,125.0,Plant height ground truth-cm,H44
Woodruff,W-0010,8,W-0010-p08,4,2024-07-23T10:45:00-05:00,2024-07-23,145.0,Plant height ground truth-cm,I44
Woodruff,W-0010,8,W-0010-p08,5,2024-07-28T11:50:00-05:00,2024-07-28,154.0,Plant height ground truth-cm,J44
Woodruff,W-0010,9,W-0010-p09,1,2024-07-06T18:27:00-05:00,2024-07-06,68.0,Plant height ground truth-cm,E45
Woodruff,W-0010,9,W-0010-p09,2,2024-07-15T09:22:00-05:00,2024-07-15,108.0,Plant height ground truth-cm,G45
Woodruff,W-0010,9,W-0010-p09,3,2024-07-18T13:47:00-05:00,2024-07-18,108.0,Plant height ground truth-cm,H45
Woodruff,W-0010,9,W-0010-p09,4,2024-07-23T10:45:00-05:00,2024-07-23,135.0,Plant height ground truth-cm,I45
Woodruff,W-0010,9,W-0010-p09,5,2024-07-28T11:50:00-05:00,2024-07-28,148.0,Plant height ground truth-cm,J45
Woodruff,W-0010,10,W-0010-p10,1,2024-07-06T18:27:00-05:00,2024-07-06,65.0,Plant height ground truth-cm,E46
Woodruff,W-0010,10,W-0010-p10,2,2024-07-15T09:22:00-05:00,2024-07-15,100.0,Plant height ground truth-cm,G46
Woodruff,W-0010,10,W-0010-p10,3,2024-07-18T13:47:00-05:00,2024-07-18,120.0,Plant height ground truth-cm,H46
Woodruff,W-0010,10,W-0010-p10,4,2024-07-23T10:45:00-05:00,2024-07-23,133.0,Plant height ground truth-cm,I46
Woodruff,W-0010,10,W-0010-p10,5,2024-07-28T11:50:00-05:00,2024-07-28,160.0,Plant height ground truth-cm,J46
Woodruff,W-0010,11,W-0010-p11,1,2024-07-06T18:27:00-05:00,2024-07-06,65.0,Plant height ground truth-cm,E47
Woodruff,W-0010,11,W-0010-p11,2,2024-07-15T09:22:00-05:00,2024-07-15,97.0,Plant height ground truth-cm,G47
Woodruff,W-0010,11,W-0010-p11,3,2024-07-18T13:47:00-05:00,2024-07-18,115.0,Plant height ground truth-cm,H47
Woodruff,W-0010,11,W-0010-p11,4,2024-07-23T10:45:00-05:00,2024-07-23,125.0,Plant height ground truth-cm,I47
