plant_uid,scenario,single_frame_rmse_cm,post_hoc_rmse_cm,prior_in_detection_rmse_cm,post_hoc_coverage_95,prior_in_detection_coverage_95,prior_in_detection_truth_closest_rate
irregular_times_058,irregular_times,2.3635325830240896,2.3324441254311257,2.380027513333737,1.0,1.0,1.0
irregular_times_059,irregular_times,17.3462625831985,16.525312148600506,2.849924824261386,0.9166666666666666,1.0,1.0
localization_error_000,localization_error,12.983068887167132,13.874371779223456,21.678354637934174,0.9166666666666666,0.75,0.75
localization_error_001,localization_error,4.611202408355785,3.969498846522771,4.007677944316698,0.9166666666666666,0.9166666666666666,1.0
localization_error_002,localization_error,24.659203354523402,14.010706619884674,2.154459709573871,1.0,1.0,1.0
localization_error_003,localization_error,18.11337869141693,14.286156845424994,2.176771093603094,1.0,1.0,1.0
localization_error_004,localization_error,3.4026136036320853,3.586318448118365,3.6360879928048324,0.9166666666666666,0.9166666666666666,1.0
localization_error_005,localization_error,14.472829390674178,10.641887792548427,2.4182302236678317,0.9166666666666666,1.0,1.0
localization_error_006,localization_error,15.859996246967464,7.089416309461485,2.726573928140231,0.9166666666666666,0.9166666666666666,1.0
localization_error_007,localization_error,16.996802542095658,15.569475792597919,3.619831096972522,0.9166666666666666,1.0,1.0
localization_error_008,localization_error,8.45835896890698,8.506107763980769,8.521804445046522,0.9166666666666666,0.9166666666666666,0.9166666666666666
localization_error_009,localization_error,2.0967787452438382,2.027262401392731,2.0146022666885015,1.0,1.0,1.0
localization_error_010,localization_error,9.841222089139752,8.41694120662985,2.984638577248381,1.0,1.0,1.0
localization_error_011,localization_error,9.77373225896375,7.850475817472079,15.721181757667924,1.0,0.6666666666666666,0.75
localization_error_012,localization_error,18.729947019652837,18.583979705519766,20.137515320578895,0.8333333333333334,0.75,0.75
localization_error_013,localization_error,16.074875179380417,17.83765106390098,18.98157510270931,0.8333333333333334,0.8333333333333334,0.8333333333333334
localization_error_014,localization_error,17.409005030826982,14.716230286965278,3.53709950654215,0.9166666666666666,0.9166666666666666,1.0
localization_error_015,localization_error,9.112879565364283,9.072053401896666,2.897056206685667,0.9166666666666666,1.0,1.0
localization_error_016,localization_error,13.199475109540215,7.406771588468331,3.3719394888497543,1.0,1.0,1.0
localization_error_017,localization_error,14.341640123705913,12.371787902987695,2.5911460796083574,0.9166666666666666,1.0,1.0
localization_error_018,localization_error,18.61247198906022,6.400216507658164,2.76353561735739,1.0,1.0,1.0
localization_error_019,localization_error,3.7519698604968004,3.3417868632376178,3.3413247017999876,1.0,1.0,1.0
localization_error_020,localization_error,14.643435493522388,13.039065208944118,3.027290112287537,1.0,1.0,1.0
localization_error_021,localization_error,2.236673347833627,2.1243259779699293,2.1687655422434426,1.0,1.0,1.0
localization_error_022,localization_error,20.026521971650777,18.79313024569984,13.118468076349803,0.75,0.9166666666666666,0.9166666666666666
localization_error_023,localization_error,18.95768585917596,6.374118057502836,3.6984843085189336,0.9166666666666666,0.9166666666666666,1.0
localization_error_024,localization_error,16.43049170975704,3.259921825833914,2.2600936911665035,1.0,1.0,1.0
localization_error_025,localization_error,16.684359145958886,14.225675078160194,16.80361269660464,1.0,0.9166666666666666,0.9166666666666666
localization_error_026,localization_error,21.045022472354606,25.60602996636655,2.3959483706961544,0.8333333333333334,1.0,1.0
localization_error_027,localization_error,16.57175525199489,12.280025163192569,3.0847411741359414,1.0,1.0,1.0
localization_error_028,localization_error,2.4358644034900148,2.5546365088242298,2.559762139891379,1.0,1.0,1.0
localization_error_029,localization_error,14.674637066887948,13.459727561961161,3.159434918671087,0.9166666666666666,0.9166666666666666,1.0
localization_error_030,localization_error,8.380230017334027,7.9418963585469795,3.0140031580387108,0.9166666666666666,1.0,1.0
localization_error_031,localization_error,20.263180657524543,16.391642800358902,3.1692514281321453,0.9166666666666666,1.0,1.0
localization_error_032,localization_error,10.177674769432741,5.302919198090448,3.0401314813139386,1.0,1.0,1.0
localization_error_033,localization_error,2.188607064796702,3.282448773321368,3.2579484088644683,1.0,1.0,1.0
localization_error_034,localization_error,11.238181975302457,12.300195117286865,1.466576015274158,0.9166666666666666,1.0,1.0
localization_error_035,localization_error,3.026320103007384,2.639856445279351,2.6470482237884525,1.0,1.0,1.0
localization_error_036,localization_error,12.495879919267482,5.766182923674722,17.75265793384457,1.0,0.9166666666666666,0.9166666666666666
localization_error_037,localization_error,8.856538917550555,9.172935607577084,9.137612247718113,0.8333333333333334,0.75,0.9166666666666666
localization_error_038,localization_error,19.137148066191948,17.512941111214772,27.942364736306846,0.8333333333333334,0.6666666666666666,0.6666666666666666
localization_error_039,localization_error,3.1287812285871763,2.7067269460816656,2.573388049750642,1.0,1.0,1.0
