camera,day,image,x_top,y_top,x_root,y_root,x_root_frac,height_px,conf,image_width
C_010,07_18,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,177.458251953125,582.9736938476562,185.3765869140625,834.4163208007812,0.2398144720751132,251.442626953125,0.7853206396102905,773
C_010,07_18,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,556.3421630859375,575.55029296875,562.4564819335938,818.5945434570312,0.7276280490732131,243.04425048828125,0.7597560882568359,773
C_010,07_18,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,357.405029296875,554.8504638671875,358.5992431640625,863.1835327148438,0.4639058773144405,308.33306884765625,0.7456991076469421,773
C_010,07_18,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,613.939697265625,550.3858032226562,622.7879638671875,807.05615234375,0.8056765379911869,256.67034912109375,0.6376226544380188,773
C_010,07_30,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,260.57080078125,564.2906494140625,262.3910217285156,860.637451171875,0.3394450475142505,296.3468017578125,0.8983119130134583,773
C_010,07_30,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,163.7129364013672,554.94873046875,178.40101623535156,849.4916381835938,0.2307904479111922,294.54290771484375,0.8420430421829224,773
C_010,07_30,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,359.2788391113281,505.468017578125,364.40924072265625,855.32666015625,0.4714220449193483,349.858642578125,0.8224378824234009,773
C_010,07_30,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,475.8807678222656,535.313720703125,482.4004821777344,807.65283203125,0.6240627195054779,272.339111328125,0.8199526071548462,773
C_010,07_30,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,564.3184204101562,553.880859375,572.2316284179688,808.5226440429688,0.7402737754436853,254.64178466796875,0.7793982625007629,773
C_010,07_30,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,615.7879638671875,548.8841552734375,621.8248291015625,795.9821166992188,0.8044305680485931,247.09796142578125,0.6719791293144226,773
C_011,07_11,B73.21-C-011_2021-07-11-17-41_CAM397.JPG,533.89599609375,586.9042358398438,548.60498046875,768.757568359375,0.7097089009945019,181.85333251953125,0.9060370326042175,773
C_011,07_11,B73.21-C-011_2021-07-11-17-41_CAM397.JPG,621.0261840820312,559.2847290039062,642.3717651367188,764.2966918945312,0.8310113391160656,205.011962890625,0.845331072807312,773
