replicate,single_frame_mae_cm,bayesian_mae_cm,mae_gain_cm,single_frame_minus_bayesian_mae_cm,ewma_minus_bayesian_mae_cm,running_median3_minus_bayesian_mae_cm,holt_minus_bayesian_mae_cm,gaussian_kalman_minus_bayesian_mae_cm,coverage_80_percent,width_80_cm,coverage_95_percent,width_95_cm
14819,26.073586099013653,26.18072345618718,-0.1071373571735279,-0.1071373571735279,2.6335539800496903,2.973679330127336,0.6439070142038084,-0.0013881418356760378,57.84313725490197,55.706774979952876,91.17647058823529,97.02579548600798
14820,15.717491023102633,15.029523499471738,0.6879675236308955,0.6879675236308955,2.4724237416816113,2.538083079699865,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002357,98.36956521739131,97.43002652212564
14821,21.06903970712684,20.260077604568814,0.8089621025580271,0.8089621025580271,2.167302944810828,2.6224293401385737,0.14223174648742898,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.5683271085611
14822,15.717491023102633,15.029523499471738,0.6879675236308955,0.6879675236308955,2.4724237416816113,2.5380830796998612,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002357,98.36956521739131,97.43002652212566
14823,18.571336369874654,17.37605233717259,1.1952840327020624,1.1952840327020624,2.2999683749006614,2.2154502773609934,0.1123594643672412,-0.011987862694116558,79.67914438502673,56.03235244122293,96.2566844919786,97.59286138029842
14824,14.130066748131556,12.928014113619659,1.2020526345118974,1.2020526345118974,2.3997088767370105,2.1771506972541914,0.1502085544014644,-0.01418243724579149,88.6178861788618,56.03415955425155,99.1869918699187,97.59600887141055
14825,20.870047936543624,20.717571678066154,0.1524762584774706,0.1524762584774706,2.1929933218605413,3.1605807478476002,0.31666514676228985,-0.01473173327342181,71.65354330708661,55.940003801749036,96.06299212598425,97.43201559071122
14826,18.698684856627896,18.82015943585399,-0.12147457922609561,-0.12147457922609561,2.0335552934421806,3.5431790150894713,0.2873530256833945,-0.020808503541573486,75.96899224806202,55.987315814861304,98.44961240310077,97.51442003271876
14827,15.639663825190853,15.722931880533828,-0.08326805534297499,-0.08326805534297499,2.2408925113792364,3.377646021147445,0.3822832437303596,-0.019386973894711446,81.63265306122449,55.94141036224305,100.0,97.43446543008679
14828,18.103121159354387,17.361216293310193,0.7419048660441945,0.7419048660441945,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130072891,78.91566265060241,55.974258953203126,96.98795180722891,97.49167859077761
14829,19.199014234791534,18.63440299724632,0.5646112375452148,0.5646112375452148,2.0305287787317,2.9586392020693673,0.1193491010299077,-0.018579353020474088,77.33333333333333,56.057911069293866,97.33333333333334,97.63737744178293
14830,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648742898,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.56832710856112
14831,19.199014234791534,18.63440299724632,0.5646112375452148,0.5646112375452148,2.0305287787317,2.9586392020693637,0.1193491010299077,-0.018579353020474088,77.33333333333333,56.057911069293866,97.33333333333334,97.63737744178295
14832,21.376792954689222,20.71818506458286,0.6586078901063637,0.6586078901063637,2.680537278294249,2.336772703538898,0.4655279206051226,-0.0029062742489820437,70.2127659574468,55.81161383946656,93.61702127659575,97.20839578455015
14833,18.103121159354387,17.361216293310193,0.7419048660441945,0.7419048660441945,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130072891,78.91566265060241,55.97425895320311,96.98795180722891,97.49167859077761
14834,15.717491023102633,15.029523499471738,0.6879675236308955,0.6879675236308955,2.4724237416816113,2.5380830796998612,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002357,98.36956521739131,97.43002652212566
14835,23.28019269868607,23.722141890787075,-0.44194919210100636,-0.44194919210100636,2.427317182142506,3.4518425927200482,0.6012555973378362,-0.00918228171517299,63.46153846153846,55.76994524279014,94.23076923076923,97.13582061320393
14836,19.57645569551147,18.4942709470686,1.0821847484428702,1.0821847484428702,2.028245618511516,2.51767057119455,-0.0073907017788599205,-0.016897713153682048,78.3625730994152,56.1111671384272,96.49122807017544,97.73013478546294
14837,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648742898,-0.013334703526574287,73.64864864864865,56.01826623715607,95.27027027027027,97.56832710856112
14838,15.717491023102637,15.029523499471738,0.6879675236308991,0.6879675236308991,2.4724237416816113,2.538083079699865,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002359,98.36956521739131,97.43002652212564
14839,21.376792954689222,20.71818506458286,0.6586078901063637,0.6586078901063637,2.680537278294249,2.336772703538898,0.4655279206051226,-0.0029062742489820437,70.2127659574468,55.81161383946655,93.61702127659575,97.20839578455015
14840,17.49928499130412,17.342082912604894,0.15720207869922476,0.15720207869922476,2.3833980565172084,3.0402594975088135,0.4092660010621785,-0.014044954009545307,77.93103448275862,55.89933838589481,97.93103448275862,97.36118768291284
14841,18.103121159354387,17.361216293310193,0.7419048660441945,0.7419048660441945,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130072891,78.91566265060241,55.974258953203126,96.98795180722891,97.49167859077761
14842,17.113619892754066,16.116353180751524,0.997266712002542,0.997266712002542,2.1900135824559612,2.4865901578645584,0.09451474344455235,-0.01616453521131689,82.53968253968253,56.06366753335275,97.88359788359789,97.64740361013862
14843,19.41092353269328,19.00652488263599,0.4043986500572885,0.4043986500572885,2.529889770749943,2.6934355885935766,0.43700352083684635,-0.008553506994722682,74.12587412587412,55.85608957104731,95.8041958041958,97.28586020854522
14844,18.698684856627896,18.820159435853995,-0.12147457922609917,-0.12147457922609917,2.0335552934421735,3.5431790150894678,0.28735302568339094,-0.02080850354157704,75.96899224806202,55.98731581486131,98.44961240310077,97.51442003271876
14845,26.073586099013653,26.18072345618718,-0.1071373571735279,-0.1071373571735279,2.6335539800496903,2.9736793301273394,0.6439070142038084,-0.0013881418356760378,57.84313725490197,55.706774979952876,91.17647058823529,97.02579548600798
14846,19.777340572493113,18.81276183279713,0.964578739695984,0.964578739695984,2.463566592518024,2.267604125199661,0.26417883122559616,-0.00808388717349473,75.60975609756098,55.937461761809374,95.1219512195122,97.42758806017493
14847,18.103121159354384,17.361216293310193,0.7419048660441909,0.7419048660441909,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130069338,78.91566265060241,55.974258953203126,96.98795180722891,97.49167859077761
14848,17.113619892754066,16.116353180751524,0.997266712002542,0.997266712002542,2.1900135824559612,2.4865901578645584,0.09451474344455235,-0.01616453521131689,82.53968253968253,56.06366753335275,97.88359788359789,97.64740361013862
14849,19.41092353269328,19.00652488263599,0.4043986500572885,0.4043986500572885,2.529889770749943,2.6934355885935766,0.43700352083684635,-0.008553506994722682,74.12587412587412,55.85608957104732,95.8041958041958,97.28586020854522
14850,18.10312115935439,17.361216293310193,0.741904866044198,0.741904866044198,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130072891,78.91566265060241,55.974258953203126,96.98795180722891,97.4916785907776
14851,17.199912580697397,16.31188659226394,0.8880259884334585,0.8880259884334585,2.5885026785256215,2.2600601576641637,0.3431451914077073,-0.00819420715446384,80.21978021978022,55.90531490147999,96.7032967032967,97.37159712016881
14852,25.424614396854665,24.697509551974598,0.727104844880067,0.727104844880067,2.5274243082990395,2.3580575531451373,0.3781491080497297,-0.0019853371011997467,62.601626016260155,55.84076396936719,91.05691056910568,97.25916724893929
14853,18.103121159354384,17.361216293310193,0.7419048660441909,0.7419048660441909,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130069338,78.91566265060241,55.974258953203126,96.98795180722891,97.49167859077761
14854,16.46876411319516,15.944231361906283,0.5245327512888771,0.5245327512888771,2.2122731138598937,2.876427098050822,0.22041346231959125,-0.01757435213530023,82.14285714285714,56.01018002099225,98.80952380952381,97.55424315636594
14855,18.103121159354387,17.361216293310193,0.7419048660441945,0.7419048660441945,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130072891,78.91566265060241,55.97425895320311,96.98795180722891,97.49167859077761
14856,20.87004793654362,20.717571678066157,0.1524762584774635,0.1524762584774635,2.1929933218605377,3.1605807478475967,0.3166651467622863,-0.01473173327342181,71.65354330708661,55.940003801749036,96.06299212598425,97.43201559071123
14857,16.468764113195157,15.944231361906283,0.5245327512888736,0.5245327512888736,2.21227311385989,2.876427098050822,0.22041346231959125,-0.01757435213530023,82.14285714285714,56.010180020992266,98.80952380952381,97.55424315636594
14858,14.130066748131556,12.928014113619659,1.2020526345118974,1.2020526345118974,2.3997088767370105,2.1771506972541914,0.1502085544014644,-0.01418243724579149,88.6178861788618,56.03415955425155,99.1869918699187,97.59600887141055
14859,22.99029875404667,21.930291242228915,1.060007511817755,1.060007511817755,2.3078243483167746,2.2770082491137806,0.16574131373830525,-0.007946365005441436,69.86301369863014,55.977535245233675,93.15068493150685,97.49738498538801
14860,20.870047936543624,20.717571678066154,0.1524762584774706,0.1524762584774706,2.1929933218605413,3.1605807478476002,0.31666514676228985,-0.01473173327342181,71.65354330708661,55.940003801749036,96.06299212598425,97.43201559071122
14861,15.717491023102639,15.029523499471738,0.6879675236309009,0.6879675236309009,2.4724237416816113,2.538083079699865,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002357,98.36956521739131,97.43002652212564
14862,17.113619892754063,16.116353180751524,0.9972667120025385,0.9972667120025385,2.1900135824559612,2.486590157864562,0.09451474344455235,-0.016164535211313336,82.53968253968253,56.063667533352756,97.88359788359789,97.64740361013862
14863,23.11089463501666,22.67570111202911,0.4351935229875501,0.4351935229875501,2.3575333671882817,2.76573933605399,0.3469152557157109,-0.008460506356687603,67.2,55.891177804217165,93.60000000000001,97.34697420655944
14864,25.424614396854665,24.697509551974598,0.727104844880067,0.727104844880067,2.5274243082990395,2.3580575531451373,0.3781491080497297,-0.0019853371011997467,62.601626016260155,55.84076396936719,91.05691056910568,97.25916724893929
14865,17.49928499130412,17.342082912604894,0.15720207869922476,0.15720207869922476,2.3833980565172084,3.040259497508817,0.4092660010621785,-0.014044954009545307,77.93103448275862,55.89933838589481,97.93103448275862,97.36118768291284
14866,18.10312115935439,17.361216293310193,0.741904866044198,0.741904866044198,2.336406037052466,2.5756832198954314,0.24203249997195897,-0.012886291130072891,78.91566265060241,55.974258953203126,96.98795180722891,97.4916785907776
14867,16.468764113195157,15.944231361906283,0.5245327512888736,0.5245327512888736,2.21227311385989,2.876427098050822,0.22041346231959125,-0.01757435213530023,82.14285714285714,56.010180020992266,98.80952380952381,97.55424315636594
14868,22.99029875404667,21.930291242228915,1.060007511817755,1.060007511817755,2.3078243483167746,2.2770082491137806,0.16574131373830525,-0.007946365005441436,69.86301369863014,55.977535245233675,93.15068493150685,97.49738498538801
14869,19.199014234791534,18.63440299724632,0.5646112375452148,0.5646112375452148,2.0305287787317,2.9586392020693637,0.1193491010299077,-0.018579353020474088,77.33333333333333,56.057911069293866,97.33333333333334,97.63737744178295
14870,16.38897627787618,15.281913201290646,1.1070630765855327,1.1070630765855327,2.4252519630494156,2.2133320684323827,0.19579666513111782,-0.011743017216870655,83.41463414634146,55.99548043727468,97.5609756097561,97.5286405469163
14871,23.11089463501666,22.67570111202911,0.4351935229875501,0.4351935229875501,2.3575333671882817,2.76573933605399,0.3469152557157109,-0.008460506356687603,67.2,55.891177804217165,93.60000000000001,97.34697420655944
14872,20.870047936543624,20.717571678066157,0.15247625847746704,0.15247625847746704,2.1929933218605377,3.1605807478476002,0.31666514676228985,-0.01473173327342181,71.65354330708661,55.940003801749036,96.06299212598425,97.43201559071122
14873,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648742898,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.56832710856112
14874,25.424614396854665,24.697509551974598,0.727104844880067,0.727104844880067,2.5274243082990395,2.3580575531451373,0.3781491080497297,-0.0019853371011997467,62.601626016260155,55.84076396936719,91.05691056910568,97.25916724893929
14875,18.57133636987465,17.37605233717259,1.1952840327020589,1.1952840327020589,2.2999683749006614,2.2154502773609934,0.1123594643672412,-0.011987862694116558,79.67914438502673,56.03235244122294,96.2566844919786,97.59286138029842
14876,17.113619892754063,16.116353180751524,0.9972667120025385,0.9972667120025385,2.1900135824559612,2.486590157864562,0.09451474344455235,-0.016164535211313336,82.53968253968253,56.063667533352756,97.88359788359789,97.64740361013862
14877,16.388976277876175,15.281913201290646,1.1070630765855292,1.1070630765855292,2.4252519630494156,2.2133320684323827,0.19579666513111782,-0.011743017216870655,83.41463414634146,55.995480437274686,97.5609756097561,97.5286405469163
14878,20.592210370068955,21.356336988232254,-0.7641266181632993,-0.7641266181632993,2.2288629049110753,3.911961958611151,0.5602136679007721,-0.01668230310864871,68.86792452830188,55.83073172212412,97.16981132075472,97.2416938488076
