rowid,date_md,plantid,source_image,x_root_recovered_px,x_root_pose_px,x_match_distance_px,pose_height_px,pose_confidence,date,height_true,height_est_cm,height_sam,pose_geometry_height_cm_2021,held_out_row,cv_prediction_cm,cv_error_cm
C_009,07_30,p2,11430.21-C-009_2021-07-30-13-22_CAM374.JPG,360.0,367.7279357910156,7.727935791015625,299.57391357421875,0.7621008157730103,2021-07-30,126,136.41059313915858,135.578821229773,124.58859662072753,C_009,137.15531552626703,11.155315526267032
C_009,08_06,p2,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,365.0,368.508056640625,3.508056640625,290.74224853515625,0.7885392308235168,2021-08-06,132,133.4993914563107,134.331163365696,120.91563077429198,C_009,133.27345800734508,1.2734580073450843
C_009,07_11,p3,11430.21-C-009_2021-07-11-13-26_CAM374.JPG,282.0,305.6772766113281,23.677276611328125,158.1634521484375,0.8883169293403625,2021-07-11,58,78.6024454368932,71.1164982524272,65.77796546020508,C_009,74.99996197606434,16.99996197606434
C_009,07_18,p3,11430.21-C-009_2021-07-18-16-20_CAM374.JPG,284.0,293.74224853515625,9.74224853515625,197.0447998046875,0.7659343481063843,2021-07-18,90,96.90142744336568,98.1490853074434,81.94817361157226,C_009,92.08981435131417,2.0898143513141747
C_009,07_30,p3,11430.21-C-009_2021-07-30-13-22_CAM374.JPG,278.0,283.5141296386719,5.514129638671875,301.46435546875,0.8501397967338562,2021-07-30,146,150.34277262135922,153.877803236246,125.37480493847656,C_009,137.98623767400628,-8.013762325993724
C_009,08_06,p3,11430.21-C-009_2021-08-06-14-14_CAM374.JPG,281.0,291.6564636230469,10.656463623046875,312.3131103515625,0.8922366499900818,2021-08-06,136,145.97597009708738,149.71894368932,129.88665021166992,C_009,142.75468400055055,6.754684000550554
C_010,07_02,p1,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,605.0,612.5512084960938,7.55120849609375,149.7359619140625,0.8020982146263123,2021-07-02,70,74.85947184466019,73.6118139805825,62.27309025659179,C_010,71.56758903516732,1.567589035167316
C_010,07_18,p1,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,606.0,622.7879638671875,16.7879638671875,256.67047119140625,0.6376222372055054,2021-07-18,120,114.36863754045308,107.29857631068,106.74565558190918,C_010,117.9597058486994,-2.0402941513006
C_010,07_30,p1,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,602.0,621.8247680664062,19.82476806640625,247.097900390625,0.6719785332679749,2021-07-30,116,116.0321813592233,114.784523495146,102.76455740185547,C_010,113.80677312570108,-2.193226874298915
C_010,07_02,p2,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,518.0,532.724853515625,14.724853515625,153.942626953125,0.814204752445221,2021-07-02,60,77.7706735275081,71.9482701618123,64.02258335302734,C_010,73.39259479997085,13.392594799970851
C_010,07_11,p2,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,486.0,519.4591064453125,33.4591064453125,177.8223876953125,0.8717142343521118,2021-07-11,78,111.04154990291262,88.9995943042071,73.95384152905272,C_010,83.75251188676927,5.75251188676927
C_010,07_18,p2,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG,529.0,562.45654296875,33.45654296875,243.04425048828125,0.7597561478614807,2021-07-18,110,113.1209796763754,112.705093721683,101.07870115856933,C_010,112.048150945999,2.048150945998998
C_010,07_30,p2,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG,526.0,572.2316284179688,46.23162841796875,254.641845703125,0.7793986201286316,2021-07-30,112,120.8148698381877,119.775154951456,105.90197864208984,C_010,117.07961361973369,5.079613619733692
C_010,07_02,p3,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG,438.0,437.3562927246094,0.643707275390625,177.02496337890625,0.8004526495933533,2021-07-02,80,77.35478757281554,78.6024454368932,73.6222039197998,C_010,83.40655993648986,3.406559936489856
