rowid,plantid,date_md,date,height_true,height_est_cm,height_sam,plant_uid,max_gust,measurement_sd_cm,is_endpoint,online_sequence_number,elapsed_days,predictive_mean_cm,predictive_sd_cm,predictive_q025_cm,predictive_q975_cm,predictive_log_score,predictive_pit,last_observation_prediction_cm,linear_extrapolation_prediction_cm,posterior_mean_cm,posterior_sd_cm,posterior_q025_cm,posterior_q10_cm,posterior_median_cm,posterior_q90_cm,posterior_q975_cm,posterior_growth_mean_cm_day,posterior_growth_sd_cm_day,outlier_posterior_probability,effective_sample_size
C_010,p1,07_30,2021-07-30,116,116.0321813592233,114.784523495146,C_010_p1,11,17.39999999946,True,4,12.0,148.86981098479558,37.132725392454475,76.0896692155848,221.64995275400634,-4.974630516290971,0.17932744087553615,107.29857631068,131.53878624133253,123.17443504579954,16.788094082205216,92.08872731565559,102.23106034033212,122.56620079646078,143.99462759284273,157.09545408840066,2.8100531710980787,1.4002545048576411,0.04892266793977482,2254.131937257371
C_010,p2,07_02,2021-07-02,60,77.7706735275081,71.9482701618123,C_010_p2,11,17.39999999946,False,1,0.0,,,,,,,,,71.83816694433813,17.3343930627377,38.277862048380655,49.47255284550942,71.94651401456383,94.21773127351021,105.41620250874915,1.699584761274215,5.756587737066079,,5000.0
C_010,p2,07_11,2021-07-11,78,111.04154990291262,88.9995943042071,C_010_p2,18,29.9999999982,False,2,9.0,87.52629812100128,65.64741737615519,-41.142639936262896,216.19523617826545,-5.200169065804257,0.5089525350252772,71.9482701618123,71.9482701618123,83.95302879236775,29.082559123744833,29.913739854325254,47.15611078889495,83.66308314331336,120.88789208392662,141.6766144047121,4.622282791553701,1.5910377912096225,0.05532018334189639,2981.0483347183813
C_010,p2,07_18,2021-07-18,110,113.1209796763754,112.705093721683,C_010_p2,8,12.0,False,3,7.0,116.92357498322122,34.90972525929624,48.50051347500059,185.34663649144184,-4.474021114333305,0.45190899616111246,88.9995943042071,102.26173530384749,113.68247300533098,12.077700706074264,90.62524033680435,99.18626312414963,113.36255504959927,128.25227317084168,136.64303143019478,3.1252727379112395,1.0997854744172546,0.03367315778133635,1348.4073110988634
C_010,p2,07_30,2021-07-30,112,120.8148698381877,119.775154951456,C_010_p2,11,17.39999999946,True,4,12.0,151.8471571611164,37.82245208390507,77.71515107666247,225.97916324557033,-4.925591291288807,0.19822956620964094,112.705093721683,153.34309272307027,126.98990544918098,16.814207090609095,95.90930649813578,106.54882888836747,126.57501666147314,147.46258294228386,161.01360257061575,2.6796259361672092,1.331600712792749,0.047017317510242684,2336.4936123323373
C_010,p3,07_02,2021-07-02,80,77.35478757281554,78.6024454368932,C_010_p3,11,17.39999999946,False,1,0.0,,,,,,,,,78.7482994415577,17.396866954644057,43.83596566027544,56.32004194027989,78.99164530138862,100.68761918589054,112.03028899826458,1.4485027576534628,5.645991762679623,,5000.0
C_010,p3,07_11,2021-07-11,70,98.14908530744336,84.0089628478964,C_010_p3,18,29.9999999982,True,2,9.0,91.78630282990659,65.8947856943223,-37.36747713096511,220.9400827907783,-5.130926201663439,0.4530232758739347,78.6024454368932,78.6024454368932,80.26382023279673,27.8973830355028,28.499811733632377,45.38268476735898,79.3648841650438,116.35061886183742,136.84559498204752,4.80282698891097,1.53827490225011,0.05266966264941516,3116.893685714112
C_011,p1,07_11,2021-07-11,96,108.54623417475727,99.396743171521,C_011_p1,18,29.9999999982,False,1,0.0,,,,,,,,,100.48965301543174,29.628429148481334,42.54966613503839,62.35366934356148,100.21673212840366,137.70004951559764,158.60928907911068,1.4648241685170555,5.684505613869438,,5000.0
C_011,p1,07_18,2021-07-18,100,136.61853611650486,108.546234174757,C_011_p1,8,12.0,False,2,7.0,110.71201575206803,56.03974032977582,0.8741247057074304,220.54990679842862,-4.992269385323838,0.4845858171506903,99.396743171521,99.396743171521,107.71853748850617,14.481603394221038,81.4806550031701,91.79902997050073,107.52268640470561,123.51398254401273,133.90641251867194,3.4831930423739035,1.221206283525222,0.04724805747841939,1545.1416759943058
C_011,p1,07_30,2021-07-30,196,211.8938939158576,225.826073398058,C_011_p1,11,17.39999999946,True,3,12.0,149.21339351185665,37.76795841416996,75.18819502008353,223.23859200362978,-6.535845277977848,0.9787458861910026,108.546234174757,124.23107589459016,204.01211924789146,23.381345556334534,141.15741103813534,176.394966424447,207.06302876180843,230.0944077516335,239.53902981386884,0.3538500180663223,1.3980872639111073,0.1390211381087371,632.284963770097
