k_dropped,true_ft,pred_ft,below_ft,error_ft,error_cm,image_id,camera
1,0.0,-0.013733662146551976,1.0,-0.013733662146551976,-0.41860202222690424,25-BR546.UFMu-00589.2025-07-12-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.03263867316172153,2.0,-0.03263867316172153,-0.9948267579692723,25-BR546.UFMu-00589.2025-07-12-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9833473385941505,1.0,-0.016652661405849534,-0.5075731196502938,25-BR546.UFMu-00589.2025-07-12-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.016083869511042136,3.0,-0.016083869511042136,-0.4902363426965643,25-BR546.UFMu-00589.2025-07-12-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9943406702929576,2.0,-0.005659329707042415,-0.17249636947065283,25-BR546.UFMu-00589.2025-07-12-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.008487923610501,1.0,0.008487923610501102,0.2587119116480736,25-BR546.UFMu-00589.2025-07-12-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.06341693475272163,1.0,0.06341693475272163,1.9329481712629553,25-BR546.UFMu-00589.2025-07-13-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.14047794861539542,2.0,0.14047794861539542,4.281767873797253,25-BR546.UFMu-00589.2025-07-13-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.0695652510886628,1.0,0.06956525108866285,2.1203488531824437,25-BR546.UFMu-00589.2025-07-13-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,0.30540383629816054,3.0,0.30540383629816054,9.308708930367933,25-BR546.UFMu-00589.2025-07-13-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.1819229732149363,2.0,0.18192297321493633,5.545012223591259,25-BR546.UFMu-00589.2025-07-13-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.089261765676723,1.0,0.08926176567672295,2.7206986178265153,25-BR546.UFMu-00589.2025-07-13-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.017569710674610498,1.0,-0.017569710674610498,-0.535524781362128,25-BR546.UFMu-00589.2025-07-14-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.030837457623006975,2.0,-0.030837457623006975,-0.9399257083492526,25-BR546.UFMu-00589.2025-07-14-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9897835666708309,1.0,-0.010216433329169106,-0.31139688787307435,25-BR546.UFMu-00589.2025-07-14-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.012956095894341787,3.0,-0.012956095894341787,-0.3949018028595377,25-BR546.UFMu-00589.2025-07-14-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.0010888853637674,2.0,0.001088885363767389,0.033189225887630014,25-BR546.UFMu-00589.2025-07-14-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.0075027310791382,1.0,0.007502731079138236,0.22868324329213344,25-BR546.UFMu-00589.2025-07-14-11-48.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.07006494801329792,1.0,-0.07006494801329792,-2.135579615445321,25-BR546.UFMu-00589.2025-07-15-12-06.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.08929127210622634,2.0,-0.08929127210622634,-2.721597973797779,25-BR546.UFMu-00589.2025-07-15-12-06.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9855466872307438,1.0,-0.01445331276925621,-0.4405369732069293,25-BR546.UFMu-00589.2025-07-15-12-06.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.08871400273497287,3.0,-0.08871400273497287,-2.7040028033619734,25-BR546.UFMu-00589.2025-07-15-12-06.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9859038766287446,2.0,-0.014096123371255431,-0.42964984035586556,25-BR546.UFMu-00589.2025-07-15-12-06.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.0002364461125772,1.0,0.00023644611257722659,0.007206877511353867,25-BR546.UFMu-00589.2025-07-15-12-06.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.0037076082864227803,1.0,0.0037076082864227803,0.11300790057016634,25-BR546.UFMu-00589.2025-07-16-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.010119984046214073,2.0,0.010119984046214073,0.30845711372860496,25-BR546.UFMu-00589.2025-07-16-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.00427919322745,1.0,0.004279193227449962,0.13042980957267486,25-BR546.UFMu-00589.2025-07-16-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,0.03256394091941772,3.0,0.03256394091941772,0.9925489192238521,25-BR546.UFMu-00589.2025-07-16-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,1.0177827592723825,2.0,0.017782759272382487,0.5420185026222182,25-BR546.UFMu-00589.2025-07-16-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,2.007518631213482,1.0,0.007518631213482063,0.22916787938693328,25-BR546.UFMu-00589.2025-07-16-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.0012068846945259171,1.0,0.0012068846945259171,0.036785845489149954,25-BR546.UFMu-00589.2025-07-17-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.0005270999875251967,2.0,-0.0005270999875251967,-0.016066007619767994,25-BR546.UFMu-00589.2025-07-17-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9990400586136872,1.0,-0.0009599413863128348,-0.029259013454815203,25-BR546.UFMu-00589.2025-07-17-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.005792007084209793,1.0,-0.005792007084209793,-0.17654037592671448,25-BR546.UFMu-00589.2025-07-18-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
