rowid,plantid,date_md,date,height_true,height_est_cm,height_sam,plant_uid,max_gust,measurement_sd_cm,is_endpoint,online_sequence_number,elapsed_days,predictive_mean_cm,predictive_sd_cm,predictive_q025_cm,predictive_q975_cm,predictive_log_score,predictive_pit,last_observation_prediction_cm,linear_extrapolation_prediction_cm,posterior_mean_cm,posterior_sd_cm,posterior_q025_cm,posterior_q10_cm,posterior_median_cm,posterior_q90_cm,posterior_q975_cm,posterior_growth_mean_cm_day,posterior_growth_sd_cm_day,outlier_posterior_probability,effective_sample_size,ewma_cm,running_median3_cm,holt_cm,gaussian_kalman_cm
C_009,p1,08_06,2021-08-06,148,146.8077420064725,143.896540323625,C_009_p1,11,17.39999999946,True,4,7.0,168.24081321464217,32.80849312559042,103.93616668848496,232.5454597407994,-4.705950822115688,0.2290402422260208,154.293689190938,177.34070251348334,151.1204894745649,15.5629090632964,121.59492597216858,131.108403992744,151.17870387593422,170.37359457418015,182.24679618687517,2.0708063534715784,1.0026305608584098,0.0410045959929182,1778.604415764786,134.5391063430422,143.896540323625,139.52577698073677,149.89902702902782
C_009,p2,07_11,2021-07-11,70,86.71222155339805,85.2566207119741,C_009_p2,18,29.9999999982,False,1,0.0,,,,,,,,,85.15715042885012,29.94739313737569,24.58657444547882,47.17658808812023,84.80215777116237,123.76539768917752,143.80484046033638,1.5446559217556284,5.689395454141644,,5000.0,85.2566207119741,85.2566207119741,85.2566207119741,85.2566207119741
C_009,p2,07_18,2021-07-18,100,102.72383080906148,103.971488673139,C_009_p2,8,12.0,False,2,7.0,96.30789702639134,55.31609798082289,-12.111655016021516,204.72744906880425,-5.060411914271929,0.5550938807814165,85.2566207119741,85.2566207119741,102.569706634947,14.849412109839273,75.61838394247557,86.41503029584396,102.38356892103782,119.2227514879671,129.11615266920907,3.786802223859538,1.3429953259147964,0.0499955897442858,1451.6373380771454,94.61405469255655,94.61405469255655,94.61405469255655,103.40052194346129
C_009,p2,07_30,2021-07-30,126,136.41059313915858,135.578821229773,C_009_p2,11,17.39999999946,False,3,12.0,148.0879716936022,37.68431923817237,74.22670598678434,221.94923740042003,-4.615804303586481,0.3699651032839811,103.971488673139,136.05411946370742,138.39619695627044,16.05367684299083,106.98793976421992,118.65519500068116,138.18218122778393,158.26450182325664,170.19395430549665,2.335314948231088,1.2867515362807749,0.038025254804182,3044.589610250323,115.09643796116478,103.971488673139,116.7005695006932,134.90935056329192
C_009,p2,08_06,2021-08-06,132,133.4993914563107,134.331163365696,C_009_p2,11,17.39999999946,True,4,7.0,154.7544707081051,32.81756913087148,90.43203521159698,219.0769062046132,-4.602322580572346,0.2668629546365595,135.578821229773,154.01643188780952,140.09354966796482,15.144683631988414,111.85575856550656,121.26185160122574,139.7750567351424,159.48186156704807,170.7984210116633,2.2716255709573163,1.0073297971912138,0.0377826837935123,1775.742882073219,124.71380066343039,134.331163365696,127.55284118211584,137.34565005867566
C_009,p3,07_11,2021-07-11,58,78.6024454368932,71.1164982524272,C_009_p3,18,29.9999999982,False,1,0.0,,,,,,,,,72.11432662905406,29.93535804925239,11.948503195672927,33.063331575066364,72.12053052258968,111.01696901852512,130.1208798012688,1.455205943584057,5.679658807112454,,5000.0,71.1164982524272,71.1164982524272,71.1164982524272,71.1164982524272
C_009,p3,07_18,2021-07-18,90,96.90142744336568,98.1490853074434,C_009_p3,8,12.0,False,2,7.0,83.32317437588392,54.69472663855488,-23.87848983568365,190.52483858745148,-5.100061430918769,0.606830076567688,71.1164982524272,71.1164982524272,96.49225888802854,15.065871669317517,68.19054273931474,80.57733894885195,97.09704911894414,112.91908735268632,122.70082273475953,4.197796540999841,1.34212934732921,0.0510845442215984,1398.8582840007218,84.6327917799353,84.6327917799353,84.6327917799353,97.3243555867978
C_009,p3,07_30,2021-07-30,146,150.34277262135922,153.877803236246,C_009_p3,11,17.39999999946,False,3,12.0,147.13170329314252,37.56553751099071,73.50324977160074,220.7601568146843,-4.58709181381188,0.5712596899447844,98.1490853074434,144.49066311604258,152.42969842268533,16.222588710088665,120.60156241938095,132.1625232606174,152.42276513326578,173.2156146058779,183.6966778575253,2.058804542166802,1.2856712651291016,0.0374042647521528,3147.7214455453395,119.25529750809065,98.1490853074434,121.57237639852062,152.28991862411436
C_009,p3,08_06,2021-08-06,136,145.97597009708738,149.71894368932,C_009_p3,11,17.39999999946,True,4,7.0,166.74891076190823,33.504389301843815,101.08030773029436,232.4175137935221,-4.593812224170401,0.3056247708794259,153.877803236246,186.3862220280475,154.66876189682625,15.633146391159022,124.55654992114168,134.79205754338412,154.62901731920036,174.56449186658568,185.40094235356176,1.9919979423770464,0.9981536780587696,0.0377671587803418,1941.6097690858244,134.48712059870533,149.71894368932,138.88177262887177,155.07604253889588
C_010,p1,07_02,2021-07-02,70,74.85947184466019,73.6118139805825,C_010_p1,11,17.39999999946,False,1,0.0,,,,,,,,,73.86120699451114,17.185629910948435,40.365042275074,51.84790544951534,74.11937650048432,95.7405010722107,107.37852503972006,1.4124223251558243,5.667025334392842,,5000.0,73.6118139805825,73.6118139805825,73.6118139805825,73.6118139805825
